% Недостаток смазки
335/18:25:52;IN USE;6599;0.42;0.01;35.09;29
335/18:25:53;IN USE;6599;0.42;0.01;35.132;29
335/18:25:54;IN USE;6599;0.42;0.01;35.15;29
335/18:25:55;IN USE;6599;0.42;0.011;35.15;29
335/18:25:56;IN USE;6598;0.42;0.011;35.178;29
335/18:25:57;IN USE;6598;0.42;0.011;35.358;29
335/18:25:58;IN USE;6598;0.42;0.011;35.417;29
335/18:25:59;IN USE;6598;0.42;0.012;35.44;29
335/18:26:00;IN USE;6598;0.42;0.012;35.499;29
335/18:26:01;IN USE;6598;0.42;0.012;35.6;29
335/18:26:02;IN USE;6598;0.42;0.012;35.679;29
335/18:26:03;IN USE;6597;0.42;0.012;35.851;29
335/18:26:04;IN USE;6597;0.42;0.012;35.887;29
335/18:26:05;IN USE;6597;0.42;0.013;35.954;29
335/18:26:06;IN USE;6597;0.42;0.013;36.031;29
335/18:26:07;IN USE;6597;0.42;0.013;36.08;29
335/18:26:08;IN USE;6597;0.42;0.013;36.168;29
335/18:26:09;IN USE;6596;0.42;0.014;36.311;29
335/18:26:10;IN USE;6596;0.42;0.014;36.431;29
335/18:26:12;IN USE;6596;0.42;0.014;36.548;29
335/18:26:13;IN USE;6595;0.42;0.014;36.65;29
335/18:26:14;IN USE;6595;0.42;0.014;36.701;29
335/18:26:15;IN USE;6595;0.42;0.015;36.795;29
335/18:26:16;IN USE;6594;0.42;0.015;36.827;29
335/18:26:17;IN USE;6594;0.42;0.015;36.847;29
335/18:26:18;IN USE;6593;0.42;0.015;36.874;29
335/18:26:20;IN USE;6593;0.42;0.015;37.005;29
335/18:26:21;IN USE;6593;0.42;0.015;37.037;29
335/18:26:22;IN USE;6593;0.42;0.016;37.123;29
335/18:26:23;IN USE;6592;0.42;0.016;37.196;29
335/18:26:24;IN USE;6591;0.42;0.016;37.224;29
335/18:26:25;IN USE;6591;0.42;0.016;37.315;29
335/18:26:26;IN USE;6591;0.42;0.016;37.405;29
335/18:26:27;IN USE;6590;0.42;0.016;37.434;29
335/18:26:28;IN USE;6590;0.42;0.016;37.482;29
335/18:26:29;IN USE;6590;0.42;0.017;37.562;29
335/18:26:30;IN USE;6589;0.42;0.017;37.584;29
335/18:26:31;IN USE;6588;0.42;0.017;37.592;29
335/18:26:32;IN USE;6587;0.42;0.018;37.705;29
335/18:26:33;IN USE;6587;0.42;0.019;37.8;29
335/18:26:34;IN USE;6587;0.42;0.02;37.851;29
335/18:26:35;IN USE;6586;0.42;0.02;37.878;29
335/18:26:36;IN USE;6586;0.42;0.02;37.988;29
335/18:26:37;IN USE;6586;0.42;0.02;38.244;29
335/18:26:38;IN USE;6585;0.42;0.02;38.245;29
335/18:26:39;IN USE;6585;0.42;0.021;38.345;29
335/18:26:40;IN USE;6585;0.42;0.021;38.507;29
335/18:26:41;IN USE;6583;0.42;0.021;38.682;29
335/18:26:42;IN USE;6583;0.42;0.021;38.802;29
335/18:26:43;IN USE;6582;0.42;0.021;38.941;29
335/18:26:44;IN USE;6582;0.42;0.021;38.992;29
335/18:26:45;IN USE;6581;0.42;0.022;39.135;29
335/18:26:46;IN USE;6580;0.42;0.022;39.193;29
335/18:26:47;IN USE;6580;0.42;0.023;39.238;29
335/18:26:48;IN USE;6579;0.42;0.023;39.245;29
335/18:26:49;IN USE;6579;0.42;0.023;39.356;29
335/18:26:50;IN USE;6579;0.42;0.023;39.433;29
335/18:26:51;IN USE;6578;0.42;0.024;39.683;29
335/18:26:52;IN USE;6578;0.42;0.024;39.697;29
335/18:26:53;IN USE;6578;0.42;0.025;39.736;29
335/18:26:54;IN USE;6576;0.42;0.025;39.743;29
335/18:26:55;IN USE;6576;0.42;0.025;39.806;29
335/18:26:56;IN USE;6576;0.42;0.025;39.859;29
335/18:26:57;IN USE;6576;0.42;0.025;40.056;29
335/18:26:58;IN USE;6576;0.42;0.026;40.211;29
335/18:26:59;IN USE;6575;0.42;0.026;40.29;29
335/18:27:00;IN USE;6575;0.42;0.026;40.332;29
335/18:27:01;IN USE;6575;0.42;0.026;40.335;29
335/18:27:02;IN USE;6575;0.42;0.028;40.362;29
335/18:27:03;IN USE;6574;0.42;0.028;40.679;29
335/18:27:04;IN USE;6574;0.42;0.029;40.715;29
335/18:27:05;IN USE;6574;0.42;0.029;40.838;29
335/18:27:06;IN USE;6573;0.42;0.029;40.881;29
335/18:27:07;IN USE;6573;0.42;0.029;41.044;29
335/18:27:08;IN USE;6573;0.42;0.029;41.077;29
335/18:27:10;IN USE;6573;0.42;0.03;41.09;29
335/18:27:11;IN USE;6573;0.42;0.03;41.125;29
335/18:27:12;IN USE;6573;0.42;0.03;41.397;29
335/18:27:14;IN USE;6572;0.42;0.031;41.52;29
335/18:27:15;IN USE;6572;0.42;0.031;41.646;29
335/18:27:16;IN USE;6572;0.42;0.032;41.856;29
335/18:27:17;IN USE;6572;0.42;0.032;41.949;29
335/18:27:18;IN USE;6571;0.42;0.033;41.956;29
335/18:27:20;IN USE;6571;0.42;0.034;42.089;29
335/18:27:21;IN USE;6571;0.42;0.034;42.148;29
335/18:27:23;IN USE;6571;0.42;0.034;42.154;29
335/18:27:24;IN USE;6571;0.42;0.034;42.163;29
335/18:27:25;IN USE;6571;0.42;0.034;42.196;29
335/18:27:26;IN USE;6570;0.42;0.034;42.21;29
335/18:27:27;IN USE;6570;0.42;0.034;42.275;29
335/18:27:28;IN USE;6570;0.42;0.034;42.673;29
335/18:27:29;IN USE;6570;0.42;0.035;42.943;29
335/18:27:30;IN USE;6570;0.42;0.035;43.02;29
335/18:27:31;IN USE;6569;0.42;0.036;43.069;29
335/18:27:32;IN USE;6568;0.42;0.036;43.297;29
335/18:27:33;IN USE;6568;0.42;0.037;43.308;29
335/18:27:34;IN USE;6568;0.42;0.037;43.318;29
335/18:27:35;IN USE;6568;0.42;0.037;43.624;29
335/18:27:36;IN USE;6567;0.42;0.037;43.89;29
335/18:27:37;IN USE;6567;0.42;0.037;43.999;29
335/18:27:38;IN USE;6567;0.42;0.037;44.005;29
335/18:27:39;IN USE;6567;0.42;0.037;44.055;29
335/18:27:40;IN USE;6566;0.42;0.038;44.115;29
335/18:27:41;IN USE;6566;0.42;0.038;44.315;29
335/18:27:42;IN USE;6565;0.42;0.038;44.339;29
335/18:27:43;IN USE;6565;0.42;0.039;44.629;29
335/18:27:44;IN USE;6565;0.42;0.039;44.677;29
335/18:27:45;IN USE;6564;0.42;0.04;44.795;29
335/18:27:46;IN USE;6564;0.42;0.041;45.199;29
335/18:27:47;IN USE;6563;0.42;0.041;45.262;29
335/18:27:48;IN USE;6562;0.42;0.041;45.441;29
335/18:27:49;IN USE;6562;0.42;0.042;45.71;29
335/18:27:50;IN USE;6562;0.42;0.043;45.749;29
335/18:27:51;IN USE;6561;0.42;0.043;46.177;29
335/18:27:52;IN USE;6561;0.42;0.043;46.254;29
335/18:27:53;IN USE;6561;0.41;0.043;46.286;29
335/18:27:54;IN USE;6561;0.41;0.044;46.32;29
335/18:27:55;IN USE;6560;0.41;0.044;46.513;29
335/18:27:57;IN USE;6560;0.41;0.044;46.552;29
335/18:27:58;IN USE;6560;0.41;0.044;46.703;29
335/18:27:59;IN USE;6560;0.41;0.045;46.819;29
335/18:28:00;IN USE;6559;0.41;0.045;47.001;29
335/18:28:01;IN USE;6559;0.41;0.045;47.028;29
335/18:28:02;IN USE;6558;0.41;0.045;47.047;29
335/18:28:03;IN USE;6557;0.42;0.045;47.173;29
335/18:28:04;IN USE;6557;0.42;0.045;47.25;29
335/18:28:05;IN USE;6556;0.42;0.045;47.563;29
335/18:28:06;IN USE;6555;0.42;0.046;47.754;29
335/18:28:07;IN USE;6555;0.42;0.046;47.81;29
335/18:28:08;IN USE;6555;0.42;0.047;47.847;29
335/18:28:09;IN USE;6555;0.42;0.047;47.951;29
335/18:28:10;IN USE;6555;0.42;0.047;47.985;29
335/18:28:11;IN USE;6554;0.42;0.047;48.181;29
335/18:28:12;IN USE;6554;0.42;0.047;48.315;29
335/18:28:13;IN USE;6554;0.42;0.047;48.417;29
335/18:28:14;IN USE;6553;0.42;0.047;48.471;28.9
335/18:28:15;IN USE;6553;0.42;0.048;48.483;28.9
