% Too old
66, f
42, f
80, f
55, f
80, f
62, f
61, f
71, f
55, f
35, f
50, f
49, f
43, f
73, f
60, f
71, f
50, f
68, f
69, f
69, f
54, f
63, f
47, f
41, f
64, f
54, f
34, f
47, f
79, f
61, f
46, f
64, f
71, f
31, f
55, f
61, f
65, f
63, f
33, f
58, f
67, f
50, f
43, f
54, f
45, f
76, f
72, f
50, f
80, f
73, f
44, f
59, f
77, f
79, f
73, f
40, f
42, f
45, f
35, f
47, f
54, f
56, f
62, f
65, f
65, f
33, f
76, f
51, f
70, f
75, f
53, f
76, f
58, f
45, f
60, f
64, f
55, f
36, f
72, f
42, f
55, f
79, f
38, f
43, f
71, f
67, f
60, f
54, f
53, f
45, f
63, f
76, f
71, f
75, f
73, f
59, f
71, f
43, f
73, f
47, f
34, f
37, f
38, f
41, f
48, f
49, f
38, f
48, f
65, f
59, f
45, f
43, f
67, f
33, f
39, f
73, f
71, f
34, f
71, f
66, f
40, f
77, f
60, f
62, f
51, f
50, f
42, f
38, f
72, f
44, f
62, f
45, f
80, f
70, f
42, f
35, f
78, f
41, f
59, f
43, f
43, f
57, f
63, f
35, f
68, f
51, f
38, f
36, f
32, f
67, f
70, f
69, f
67, f
56, f
62, f
46, f
33, f
43, f
56, f
63, f
64, f
46, f
79, f
65, f
44, f
48, f
34, f
67, f
63, f
67, f
43, f
35, f
69, f
64, f
68, f
36, f
73, f
63, f
63, f
63, f
67, f
65, f
60, f
36, f
32, f
65, f
35, f
80, f
58, f
50, f
76, f
70, f
66, f
40, f
70, f
63, f
61, f
41, f
51, f
58, f
62, f
70, f
41, f
51, f
71, f
50, f
74, f
53, f
36, f
73, f
80, f
46, f
35, f
35, f
34, f
59, f
35, f
44, f
77, f
69, f
68, f
33, f
36, f
32, f
43, f
59, f
50, f
65, f
70, f
72, f
48, f
79, f
50, f
33, f
45, f
64, f
